universe,config,date,asset,weight
CORE20Y,regime开(MA关),2003-02-10,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-11,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-12,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-13,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-14,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-17,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-18,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-19,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-20,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-21,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-24,上证国债指,1.0
CORE20Y,regime开(MA关),2003-02-25,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-26,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-27,上证综指,1.0
CORE20Y,regime开(MA关),2003-02-28,上证综指,1.0
CORE20Y,regime开(MA关),2003-03-03,上证综指,1.0
CORE20Y,regime开(MA关),2003-03-04,上证综指,1.0
CORE20Y,regime开(MA关),2003-03-05,上证综指,1.0
CORE20Y,regime开(MA关),2003-03-06,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-07,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-10,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-11,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-12,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-13,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-14,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-17,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-18,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-19,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-20,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-21,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-24,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-25,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-26,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-27,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-28,上证国债指,1.0
CORE20Y,regime开(MA关),2003-03-31,上证国债指,1.0
CORE20Y,regime开(MA关),2003-04-01,上证国债指,1.0
CORE20Y,regime开(MA关),2003-04-02,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-03,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-04,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-07,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-08,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-09,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-10,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-11,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-14,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-15,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-16,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-17,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-18,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-21,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-22,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-23,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-24,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-25,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-28,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-29,沪深300,1.0
CORE20Y,regime开(MA关),2003-04-30,沪深300,1.0
CORE20Y,regime开(MA关),2003-05-12,沪深300,1.0
CORE20Y,regime开(MA关),2003-05-13,上证国债指,1.0
CORE20Y,regime开(MA关),2003-05-14,沪深300,1.0
CORE20Y,regime开(MA关),2003-05-15,沪深300,1.0
CORE20Y,regime开(MA关),2003-05-16,沪深300,1.0
CORE20Y,regime开(MA关),2003-05-19,沪深300,1.0
CORE20Y,regime开(MA关),2003-05-20,上证国债指,1.0
CORE20Y,regime开(MA关),2003-05-21,上证国债指,1.0
CORE20Y,regime开(MA关),2003-05-22,上证国债指,1.0
CORE20Y,regime开(MA关),2003-05-23,上证国债指,1.0
CORE20Y,regime开(MA关),2003-05-26,上证国债指,1.0
CORE20Y,regime开(MA关),2003-05-27,上证国债指,1.0
CORE20Y,regime开(MA关),2003-05-28,上证国债指,1.0
CORE20Y,regime开(MA关),2003-05-29,沪深300,1.0
CORE20Y,regime开(MA关),2003-05-30,沪深300,1.0
CORE20Y,regime开(MA关),2003-06-02,沪深300,1.0
CORE20Y,regime开(MA关),2003-06-03,沪深300,1.0
CORE20Y,regime开(MA关),2003-06-04,沪深300,1.0
CORE20Y,regime开(MA关),2003-06-05,沪深300,1.0
CORE20Y,regime开(MA关),2003-06-06,沪深300,1.0
CORE20Y,regime开(MA关),2003-06-09,上证国债指,1.0
CORE20Y,regime开(MA关),2003-06-10,上证综指,1.0
CORE20Y,regime开(MA关),2003-06-11,沪深300,1.0
CORE20Y,regime开(MA关),2003-06-12,上证综指,1.0
CORE20Y,regime开(MA关),2003-06-13,上证综指,1.0
CORE20Y,regime开(MA关),2003-06-16,上证综指,1.0
CORE20Y,regime开(MA关),2003-06-17,上证综指,1.0
CORE20Y,regime开(MA关),2003-06-18,上证综指,1.0
CORE20Y,regime开(MA关),2003-06-19,上证国债指,1.0
CORE20Y,regime开(MA关),2003-06-20,上证国债指,1.0
CORE20Y,regime开(MA关),2003-06-23,上证国债指,1.0
CORE20Y,regime开(MA关),2003-06-24,上证国债指,1.0
CORE20Y,regime开(MA关),2003-06-25,上证国债指,1.0
CORE20Y,regime开(MA关),2003-06-26,上证国债指,1.0
CORE20Y,regime开(MA关),2003-06-27,上证国债指,1.0
CORE20Y,regime开(MA关),2003-06-30,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-01,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-02,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-03,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-04,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-07,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-08,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-09,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-10,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-11,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-14,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-15,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-16,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-17,沪深300,1.0
CORE20Y,regime开(MA关),2003-07-18,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-21,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-22,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-23,沪深300,1.0
CORE20Y,regime开(MA关),2003-07-24,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-25,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-28,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-29,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-30,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-31,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-01,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-04,沪深300,1.0
CORE20Y,regime开(MA关),2003-08-05,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-06,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-07,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-08,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-11,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-12,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-13,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-14,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-15,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-18,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-19,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-20,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-21,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-22,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-25,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-26,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-27,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-28,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-29,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-01,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-02,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-03,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-04,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-05,上证国债指,1.0
