alpha_id,zoo,theme,status,ic_mean,ic_std,icir,ic_pos_ratio,ic_tstat,ls_sharpe,top_sharpe,ls_ann_ret,reason
gtja191_171,gtja191,microstructure,ok,0.0387,0.2047,3.001,0.57,6.22,1.86,0.456,0.309,
alpha101_054,alpha101,reversal,ok,0.0354,0.2026,2.777,0.557,5.76,1.859,0.544,0.3037,
alpha101_060,alpha101,volume,ok,0.0364,0.1966,2.942,0.568,6.07,1.834,0.689,0.2963,
alpha101_028,alpha101,volume,ok,0.0079,0.1665,0.754,0.514,1.55,1.45,0.337,0.2056,
gtja191_191,gtja191,volume,ok,0.0079,0.1665,0.754,0.514,1.55,1.45,0.337,0.2056,
alpha101_053,alpha101,reversal,ok,0.025,0.1972,2.011,0.545,4.15,1.434,0.461,0.2251,
gtja191_111,gtja191,"volume,microstructure",ok,0.0316,0.1964,2.557,0.567,5.3,1.398,0.38,0.2264,
qlib158_vsumn5,qlib158,"volume,volatility",ok,0.0168,0.1635,1.631,0.56,3.37,1.353,0.331,0.187,
gtja191_186,gtja191,momentum,ok,0.012,0.1579,1.206,0.536,2.47,1.164,0.223,0.1566,
qlib158_imxd10,qlib158,momentum,ok,0.0081,0.2174,0.594,0.511,1.23,1.045,0.445,0.1824,
gtja191_096,gtja191,momentum,ok,0.0093,0.2401,0.616,0.517,1.27,1.04,0.448,0.1993,
alpha101_068,alpha101,volume,ok,0.0089,0.1305,1.079,0.513,2.2,1.001,0.54,0.1288,
