alpha_id,zoo,theme,status,ic_mean,ic_std,icir,ic_pos_ratio,ic_tstat,ls_sharpe,top_sharpe,ls_ann_ret,reason
academic_carhart_mom,academic,momentum,ok,0.0177,0.2471,1.137,0.54,2.06,0.341,-0.027,0.0713,
academic_cma,academic,quality,ok,0.0104,0.1784,0.925,0.521,1.81,-0.17,0.027,-0.0259,
academic_high52w,academic,momentum,ok,0.0267,0.2728,1.555,0.55,2.83,0.778,0.639,0.168,
academic_hml,academic,value,ok,-0.0153,0.2594,-0.936,0.461,-1.7,-0.453,-0.412,-0.1009,
academic_illiq,academic,liquidity,ok,-0.0045,0.1465,-0.491,0.486,-1.01,0.33,0.114,0.0425,
academic_mkt_rf,academic,momentum,ok,0.0005,0.2558,0.032,0.489,0.07,0.667,0.276,0.1421,
academic_retskew,academic,volatility,ok,0.0238,0.1724,2.193,0.565,4.42,0.247,0.146,0.0339,
academic_rmw,academic,quality,ok,0.049,0.2653,2.934,0.578,5.91,0.275,0.418,0.0588,
academic_smb,academic,quality,ok,0.0164,0.172,1.513,0.546,3.05,0.498,0.355,0.0739,
academic_strev,academic,reversal,ok,-0.0005,0.2558,-0.032,0.511,-0.07,-0.667,-0.398,-0.1421,
alpha101_001,alpha101,"reversal,volatility",ok,-0.0155,0.1784,-1.38,0.457,-2.83,-0.233,-0.285,-0.0337,
alpha101_002,alpha101,"volume,reversal",ok,0.0059,0.1415,0.664,0.511,1.37,-0.272,-0.125,-0.032,
alpha101_003,alpha101,"volume,reversal",ok,0.0033,0.1377,0.378,0.503,0.78,-0.547,-0.165,-0.0679,
alpha101_004,alpha101,reversal,ok,0.0004,0.1677,0.035,0.5,0.07,-0.412,-0.159,-0.0599,
alpha101_005,alpha101,reversal,skip,,,,,,,,,alpha101_005: panel missing required columns ['vwap']
alpha101_006,alpha101,"volume,reversal",ok,0.0096,0.1703,0.895,0.519,1.85,0.377,0.18,0.0527,
alpha101_007,alpha101,"momentum,volume",ok,-0.0086,0.1541,-0.882,0.453,-1.77,0.631,-0.345,0.0836,
alpha101_008,alpha101,reversal,ok,0.0129,0.2067,0.991,0.524,2.04,0.455,-0.068,0.0752,
alpha101_009,alpha101,momentum,ok,0.0219,0.1937,1.791,0.545,3.71,0.872,-0.054,0.1385,
alpha101_010,alpha101,momentum,ok,0.0202,0.1897,1.688,0.533,3.5,0.684,-0.026,0.1063,
alpha101_011,alpha101,"volume,reversal",skip,,,,,,,,,alpha101_011: panel missing required columns ['vwap']
alpha101_012,alpha101,"volume,reversal",ok,0.0134,0.1602,1.324,0.524,2.74,0.058,-0.344,0.0079,
alpha101_013,alpha101,volume,ok,0.0069,0.1291,0.85,0.513,1.76,-0.151,-0.166,-0.0179,
alpha101_014,alpha101,"volume,momentum",ok,0.0107,0.1662,1.018,0.545,2.1,0.531,-0.032,0.0729,
alpha101_015,alpha101,volume,ok,0.0109,0.2761,0.627,0.507,1.29,-0.099,-0.203,-0.0245,
alpha101_016,alpha101,volume,ok,0.0055,0.1261,0.698,0.52,1.44,-0.303,-0.321,-0.0353,
alpha101_017,alpha101,"volume,reversal",ok,0.0121,0.1941,0.987,0.549,2.02,0.196,-0.047,0.0314,
alpha101_018,alpha101,volatility,ok,0.0329,0.1836,2.845,0.57,5.87,0.933,0.099,0.1469,
