factor,n_bull,n_bear,bull_ic_mean,bear_ic_mean,bull_icir,bear_icir,sign_flip,ic_diff,ic_diff_sigma
boll_w,4344,607,-0.0229,0.0233,-4.0316,2.7291,True,-0.0462,-0.4012
vol_60,4303,607,-0.0302,0.0082,-4.7376,1.1458,True,-0.0384,-0.3566
vol_20,4343,607,-0.0343,0.0067,-5.5210,0.8058,True,-0.0409,-0.3529
adx_14,4336,607,-0.0062,0.0187,-1.4301,3.6775,True,-0.0248,-0.3320
downside_vol_60,4303,607,-0.0199,0.0159,-3.0476,2.1000,True,-0.0357,-0.3190
drawup_60,4300,607,0.0066,0.0412,1.0124,5.0324,False,-0.0345,-0.2931
high_52w,3300,364,0.0042,-0.0226,0.6682,-3.6492,True,0.0268,0.2706
intraday_range,4358,606,-0.0389,-0.0114,-7.0139,-1.5045,False,-0.0276,-0.2622
ret_skew_60,4303,607,-0.0179,-0.0052,-6.0105,-1.4990,False,-0.0127,-0.2477
rev_20,4339,606,0.0318,0.0605,4.5863,6.3834,False,-0.0287,-0.2182
mom_20,4339,606,-0.0318,-0.0605,-4.5863,-6.3834,False,0.0287,0.2182
mom_120,4237,607,-0.0169,-0.0426,-2.4706,-5.2514,False,0.0257,0.2158
dolvol_trend,4344,607,-0.0254,-0.0413,-5.1700,-7.3704,False,0.0160,0.1910
rev_60,4298,607,0.0273,0.0509,3.8121,5.4646,False,-0.0236,-0.1788
mom_60,4298,607,-0.0273,-0.0509,-3.8121,-5.4646,False,0.0236,0.1788
rsi_14,4349,607,-0.0266,-0.0419,-4.9545,-7.1293,False,0.0153,0.1713
ROE,4308,607,0.0177,0.0084,4.6984,2.3056,False,0.0093,0.1579
ma_dev_60,4304,607,-0.0298,-0.0480,-4.5031,-5.8647,False,0.0182,0.1539
ma_dev_20,4344,607,-0.0350,-0.0542,-5.2081,-5.6628,False,0.0192,0.1462
mom_250,4107,607,-0.0099,-0.0238,-1.5080,-3.4750,False,0.0139,0.1308
vol_price_corr,4343,607,-0.0323,-0.0418,-7.1836,-8.3598,False,0.0095,0.1265
profit_yoy,4308,607,0.0176,0.0112,5.1447,3.3211,False,0.0063,0.1169
mom_5,4353,606,-0.0416,-0.0566,-6.3905,-6.0296,False,0.0150,0.1167
rev_5,4353,606,0.0416,0.0566,6.3905,6.0296,False,-0.0150,-0.1167
amount_strength,4304,607,-0.0301,-0.0370,-6.2102,-7.3601,False,0.0069,0.0885
vol_ratio,4344,607,-0.0260,-0.0318,-5.9825,-7.5564,False,0.0058,0.0848
ivol_60,2736,221,-0.0190,-0.0149,-5.9317,-4.4323,False,-0.0041,-0.0780
rev_intraday,4358,605,0.0246,0.0184,4.2892,2.3813,False,0.0062,0.0573
mom_12_1,4105,607,0.0004,-0.0041,0.0636,-0.6691,True,0.0045,0.0462
amihud_20,4343,607,0.0182,0.0140,2.7729,1.8568,False,0.0042,0.0378
overnight_gap,4358,607,0.0178,0.0193,4.7030,3.7197,False,-0.0015,-0.0202
macd_hist,4357,606,-0.0185,-0.0197,-2.9264,-2.4757,False,0.0012,0.0108
rev_yoy,4308,607,0.0091,0.0089,2.5675,2.6079,False,0.0002,0.0042
